frameCounter	force x	force y
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	1.34621	1.42586
8	1.5252	1.42586
9	0	0
10	2.95713	2.56656
11	0	0
12	9.40083	7.12932
13	4.21007	3.42208
14	0	0
15	3.49411	2.99432
16	0	0
17	7.43192	5.70346
18	0	0
19	2.24116	1.99621
20	0	0.855519
21	0	0
22	0	0
23	2.24116	1.99621
24	5.642	4.42018
25	3.31511	2.85173
26	0	0.855519
27	0	1.14069
28	8.68486	6.70157
29	4.38906	3.56466
30	4.74705	3.84984
31	0	0
32	11.1907	8.4126
33	6.89495	5.41829
34	8.86385	6.84415
35	0	0
36	0	0
37	4.56806	3.70725
38	6.71595	5.13311
39	2.06217	1.85362
40	0	0
41	11.5487	8.69778
42	4.21007	3.42208
43	2.06217	1.99621
44	2.77814	2.42397
45	1.34621	1.42586
46	0	0
47	4.74705	3.84984
48	5.642	4.42018
49	6.17898	4.84794
50	5.99999	4.70535
51	0	0
52	0	0
53	0	0
54	0	0
55	0	0
56	4.92604	3.99242
57	4.38906	3.56466
58	3.85209	3.1369
59	5.46301	4.27759
60	0	0
61	0	0
62	2.06217	1.99621
63	0	0
64	8.32688	6.41639
65	6.35797	4.99053
66	12.6227	9.41071
67	0	0
